id,cat,subcat,maintenance
P001,Electronics,Smartphones,Scheduled
P002,Electronics,Laptops,Scheduled
P003,Electronics,Tablets,Preventive
P004,Electronics,Televisions,Corrective
P005,Electronics,Headphones,Scheduled
P006,Electronics,Smartwatches,Preventive
P007,Home Goods,Furniture,Corrective
P008,Home Goods,Kitchenware,Scheduled
P009,Home Goods,Bedding,Preventive
P010,Home Goods,Decor,Corrective
P011,Apparel,T-Shirts,Scheduled
P012,Apparel,Jeans,Preventive
P013,Apparel,Dresses,Corrective
P014,Apparel,Jackets,Scheduled
P015,Apparel,Footwear,Preventive
P016,Books,Fiction,Corrective
P017,Books,Non-Fiction,Scheduled
P018,Books,Textbooks,Preventive
P019,Books,Children's Books,Corrective
P020,Sports & Outdoors,Camping Gear,Scheduled
P021,Sports & Outdoors,Fitness Equipment,Preventive
P022,Sports & Outdoors,Sports Apparel,Corrective
P023,Sports & Outdoors,Outdoor Footwear,Scheduled
P024,Beauty,Skincare,Preventive
P025,Beauty,Makeup,Corrective
P026,Beauty,Haircare,Scheduled
P027,Beauty,Fragrances,Preventive
P028,Food & Beverage,Snacks,Corrective
P029,Food & Beverage,Beverages,Scheduled
P030,Food & Beverage,Pantry Staples,Preventive
P031,Food & Beverage,Fresh Produce,Corrective
P032,Automotive,Car Parts,Scheduled
P033,Automotive,Accessories,Preventive
P034,Automotive,Tools,Corrective
P035,Toys & Games,Board Games,Scheduled
P036,Toys & Games,Action Figures,Preventive
P037,Toys & Games,Dolls,Corrective
P038,Toys & Games,Puzzles,Scheduled
P039,Health & Wellness,Vitamins,Preventive
P040,Health & Wellness,Supplements,Corrective
P041,Health & Wellness,Personal Care,Scheduled
P042,Health & Wellness,First Aid,Preventive
P043,Pet Supplies,Dog Food,Corrective
P044,Pet Supplies,Cat Food,Scheduled
P045,Pet Supplies,Pet Toys,Preventive
P046,Pet Supplies,Grooming,Corrective
P047,Office Supplies,Pens & Pencils,Scheduled
P048,Office Supplies,Paper,Preventive
P049,Office Supplies,Printers,Corrective
P050,Office Supplies,Ink & Toner,Scheduled
P051,Garden & Outdoor,Tools,Preventive
P052,Garden & Outdoor,Plants,Corrective
P053,Garden & Outdoor,Seeds,Scheduled
P054,Garden & Outdoor,Pots & Planters,Preventive
P055,Jewelry,Necklaces,Corrective
P056,Jewelry,Rings,Scheduled
P057,Jewelry,Earrings,Preventive
P058,Jewelry,Bracelets,Corrective
P059,Musical Instruments,Guitars,Scheduled
P060,Musical Instruments,Keyboards,Preventive
P061,Musical Instruments,Drums,Corrective
P062,Musical Instruments,Accessories,Scheduled
P063,Arts & Crafts,Paints,Preventive
P064,Arts & Crafts,Brushes,Corrective
P065,Arts & Crafts,Paper Crafts,Scheduled
P066,Arts & Crafts,Knitting,Preventive
P067,Baby Products,Diapers,Corrective
P068,Baby Products,Formula,Scheduled
P069,Baby Products,Strollers,Preventive
P070,Baby Products,Car Seats,Corrective
P071,Software,Operating Systems,Scheduled
P072,Software,Productivity,Preventive
P073,Software,Antivirus,Corrective
P074,Software,Gaming,Scheduled
P075,Industrial,Safety Equipment,Preventive
P076,Industrial,Tools & Machinery,Corrective
P077,Industrial,Raw Materials,Scheduled
P078,Industrial,Cleaning Supplies,Preventive
P079,Services,Consulting,Corrective
P080,Services,Training,Scheduled
P081,Services,Installation,Preventive
P082,Services,Repair,Corrective
P083,Electronics,Cameras,Scheduled
P084,Electronics,Drones,Preventive
P085,Electronics,Gaming Consoles,Corrective
P086,Home Goods,Small Appliances,Scheduled
P087,Home Goods,Large Appliances,Preventive
P088,Apparel,Sportswear,Corrective
P089,Books,Magazines,Scheduled
P090,Sports & Outdoors,Team Sports,Preventive
P091,Beauty,Sunscreen,Corrective
P092,Food & Beverage,Coffee & Tea,Scheduled
P093,Automotive,Tires,Preventive
P094,Toys & Games,Building Blocks,Corrective
P095,Health & Wellness,Aromatherapy,Scheduled
P096,Pet Supplies,Fish Food,Preventive
P097,Office Supplies,Calculators,Corrective
P098,Garden & Outdoor,Fertilizers,Scheduled
P099,Jewelry,Watches,Preventive
P100,Musical Instruments,Brass Instruments,Corrective
P101,Arts & Crafts,Craft Kits,Scheduled
P102,Baby Products,Baby Monitors,Preventive
P103,Software,Cloud Storage,Corrective
P104,Industrial,Lubricants,Scheduled
P105,Services,IT Support,Preventive
P106,Electronics,Wearables,Corrective
P107,Home Goods,Lighting,Scheduled
P108,Apparel,Underwear,Preventive
P109,Books,Graphic Novels,Corrective
P110,Sports & Outdoors,Water Sports,Scheduled
P111,Beauty,Shaving Supplies,Preventive
P112,Food & Beverage,Frozen Foods,Corrective
P113,Automotive,Motor Oil,Scheduled
P114,Toys & Games,Remote Control Toys,Preventive
P115,Health & Wellness,Dental Care,Corrective
P116,Pet Supplies,Bird Food,Scheduled
P117,Office Supplies,Shredders,Preventive
P118,Garden & Outdoor,Pest Control,Corrective
P119,Jewelry,Custom Jewelry,Scheduled
P120,Musical Instruments,Woodwind Instruments,Preventive
P121,Arts & Crafts,Sewing Supplies,Corrective
P122,Baby Products,Feeding Supplies,Scheduled
P123,Software,Security Software,Preventive
P124,Industrial,Adhesives,Corrective
P125,Services,Marketing,Scheduled
P126,Electronics,E-readers,Preventive
P127,Home Goods,Vacuum Cleaners,Corrective
P128,Apparel,Sleepwear,Scheduled
P129,Books,Cookbooks,Preventive
P130,Sports & Outdoors,Winter Sports,Corrective
P131,Beauty,Bath & Body,Scheduled
P132,Food & Beverage,Canned Goods,Preventive
P133,Automotive,Batteries,Corrective
P134,Toys & Games,Educational Toys,Scheduled
P135,Health & Wellness,Fitness Trackers,Preventive
P136,Pet Supplies,Reptile Supplies,Corrective
P137,Office Supplies,Whiteboards,Scheduled
P138,Garden & Outdoor,Composters,Preventive
P139,Jewelry,Children's Jewelry,Corrective
P140,Musical Instruments,Percussion,Scheduled
P141,Arts & Crafts,Scrapbooking,Preventive
P142,Baby Products,Nursery Decor,Corrective
P143,Software,Design Software,Scheduled
P144,Industrial,Pipes & Fittings,Preventive
P145,Services,Financial Services,Corrective
P146,Electronics,GPS Devices,Scheduled
P147,Home Goods,Heating & Cooling,Preventive
P148,Apparel,Swimwear,Corrective
P149,Books,Travel Guides,Scheduled
P150,Sports & Outdoors,Cycling Gear,Preventive
P151,Beauty,Nail Care,Corrective
P152,Food & Beverage,Baked Goods,Scheduled
P153,Automotive,Wiper Blades,Preventive
P154,Toys & Games,Outdoor Play,Corrective
P155,Health & Wellness,Stress Relief,Scheduled
P156,Pet Supplies,Small Animal Supplies,Preventive
P157,Office Supplies,Desk Organizers,Corrective
P158,Garden & Outdoor,Rain Barrels,Scheduled
P159,Jewelry,Anklets,Preventive
P160,Musical Instruments,Amplifiers,Corrective
P161,Arts & Crafts,Pottery,Scheduled
P162,Baby Products,Baby Proofing,Preventive
P163,Software,Video Editing,Corrective
P164,Industrial,Valves,Scheduled
P165,Services,Legal Services,Preventive
P166,Electronics,Portable Speakers,Corrective
P167,Home Goods,Cleaning Supplies,Scheduled
P168,Apparel,Formal Wear,Preventive
P169,Books,Biographies,Corrective
P170,Sports & Outdoors,Yoga & Pilates,Scheduled
P171,Beauty,Hair Removal,Preventive
P172,Food & Beverage,Spices,Corrective
P173,Automotive,Car Cleaning,Scheduled
P174,Toys & Games,Science Kits,Preventive
P175,Health & Wellness,Sleep Aids,Corrective
P176,Pet Supplies,Bird Cages,Scheduled
P177,Office Supplies,Staplers,Preventive
P178,Garden & Outdoor,Hoses,Corrective
P179,Jewelry,Charms,Scheduled
P180,Musical Instruments,Microphones,Preventive
P181,Arts & Crafts,Calligraphy,Corrective
P182,Baby Products,Bath Toys,Scheduled
P183,Software,Photo Editing,Preventive
P184,Industrial,Pumps,Corrective
P185,Services,Event Planning,Scheduled
P186,Electronics,Action Cameras,Preventive
P187,Home Goods,Smart Home Devices,Corrective
P188,Apparel,Activewear,Scheduled
P189,Books,Self-Help,Preventive
P190,Sports & Outdoors,Golf Equipment,Corrective
P191,Beauty,Oral Care,Scheduled
P192,Food & Beverage,Frozen Meals,Preventive
P193,Automotive,Floor Mats,Corrective
P194,Toys & Games,Art Supplies (Kids),Scheduled
P195,Health & Wellness,Joint Support,Preventive
P196,Pet Supplies,Aquariums,Corrective
P197,Office Supplies,Folders,Scheduled
P198,Garden & Outdoor,Weed Control,Preventive
P199,Jewelry,Brooches,Corrective
P200,Musical Instruments,Sheet Music,Scheduled